次数,OOLUA,LUABind
加载lua脚本,0.001s,0.001s
10000,0.11s,0.13s
20000,0.281s,0.255s
30000,0.422s,0.386s
40000,0.505s,0.534s
50000,0.642s,0.642s
60000,0.776s,0.782s
70000,0.959s,0.902s
80000,1.19s,1.07s
90000,1.235s,1.167s
100000,1.341s,1.279s
110000,1.437s,1.428s
120000,1.563s,1.566s
130000,1.651s,1.691s
140000,1.866s,1.809s
150000,1.906s,1.997s
160000,2.051s,2.061s
170000,2.282s,2.201s
180000,2.436s,2.356s
190000,2.496s,2.483s
200000,2.619s,2.614s
210000,2.67s,2.733s
220000,2.845s,2.891s
230000,2.992s,3.008s
240000,3.106s,3.123s
250000,3.182s,3.295s
260000,3.388s,3.359s
270000,3.508s,3.535s
280000,3.594s,3.666s
290000,3.815s,3.804s
300000,3.94s,4.108s
310000,4.063s,4.094s
320000,4.088s,4.199s
330000,4.308s,4.341s
340000,4.451s,4.471s
350000,4.766s,4.591s
360000,4.726s,4.722s
370000,4.819s,4.859s
380000,4.806s,5.013s
390000,4.984s,5.163s
400000,5.233s,5.231s
410000,5.331s,5.384s
420000,5.399s,5.493s
430000,5.565s,5.628s
440000,5.797s,5.735s
450000,5.943s,5.863s
460000,6.035s,5.999s
470000,6.154s,6.195s
480000,6.376s,6.244s
490000,6.317s,6.398s
500000,6.588s,6.488s
510000,6.749s,6.774s
520000,7.084s,7.628s
530000,6.984s,7.685s
540000,6.968s,7.274s
550000,7.276s,7.176s
560000,7.233s,7.407s
570000,7.572s,7.442s
580000,7.56s,7.619s
590000,7.862s,7.769s
600000,8.073s,7.923s
610000,7.959s,8.048s
620000,8.218s,8.185s
630000,8.231s,8.402s
640000,8.388s,8.456s
650000,8.475s,8.552s
660000,8.992s,8.672s
670000,9.153s,8.825s
680000,9.229s,8.907s
690000,9.311s,9.093s
700000,9.479s,9.22s
710000,9.777s,9.407s
720000,9.749s,9.494s
730000,9.743s,9.518s
740000,9.727s,9.581s
750000,9.962s,9.765s
760000,10.101s,9.887s
770000,10.289s,10.013s
780000,10.328s,10.177s
790000,10.535s,11.001s
800000,10.774s,11.419s
810000,10.803s,10.691s
820000,10.913s,10.722s
830000,11.034s,10.822s
840000,10.895s,10.932s
850000,11.38s,11.047s
860000,11.348s,11.25s
870000,11.404s,11.395s
880000,11.389s,11.532s
890000,11.345s,11.641s
900000,11.69s,11.778s
910000,11.768s,11.863s
920000,11.923s,12.068s
930000,11.981s,12.433s
940000,12.282s,12.362s
950000,12.224s,12.591s
960000,12.401s,13.929s
970000,12.791s,13.259s
980000,12.523s,12.92s
990000,12.973s,13.107s
1000000,12.921s,13.399s
